simulator,agents,timestep,interval,rate,delay_type,value,time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,obstacles
default,10,1,30,0.3,agent,108.803,0.00014381360799999997,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.3,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.3,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,10,1,30,0.3,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.1,agent,52.248979591836736,1.1501010623469388,heuristic,proposed,0.8041758648979591,5.523469387755102,5.523469387755102,38.82142857142857,109.31836734693877,5.662244897959184,0.8424383869780158,0.15756161302198415,0,0.1327164674690877,0.1309289203235521,0.1327164674690877,90.0
default,20,1,10,0.1,agent,54.118367346938776,0.00023881605306122448,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.1,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.1,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.1,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.2,agent,63.61530612244898,1.3276332875510204,heuristic,proposed,0.8731022246938775,5.957142857142857,5.955102040816326,37.46122448979592,117.01122448979592,6.253061224489796,0.7648634850281174,0.23513651497188254,0,0.1347271473323104,0.13225579158402656,0.13474012942414712,90.0
default,20,1,10,0.2,agent,66.04897959183674,0.00025219119591836733,heuristic,proposed,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.2,agent,,,heuristic,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.2,agent,,,exhaustive,semi-naive,,,,,,,0.0,0.0,0,,,,90.0
online,20,1,10,0.2,agent,,,heuristic,naive,,,,,,,0.0,0.0,0,,,,90.0
