timing,simulator,obstacles,agents,k_neighbor,map_name,delay_start,delay_interval,delay_ratio,delay_type,makespan,soc,total_time,makespan_time,feasibility,cycle,execution_time,first_agent_arriving,cycle_count,cycle_agents,unblocked_agents,feasibility_count,feasibility_type_a,feasibility_type_b,feasibility_type_c,average_timestep_time,average_feasibility_time,average_cycle_time,average_feasibility_unsettled,average_feasibility_loop,average_feasibility_topo,average_feasibility_recursion,makespan_lower,makespan_upper,soc_lower,soc_upper,average_timestep_time_lower,average_timestep_time_upper,makespan_time_lower,makespan_time_upper,partial_replan_count,partial_replan_time,full_replan_count,full_replan_time,data_points
continuous,online_remove_redundant,0,10,2,sparse,0,1,0.1,agent,691.562578,361.753602,0.021502381200000004,2.9900682560717194e-05,heuristic,proposed,0.01218518,66.85614122000001,0,0,0,0,0,0,0,0.0002104565009943019,0,0,0,0,0,0,680.572607176909,702.5525488230911,353.94996153692625,369.55724246307375,0.0001959669925029525,0.00022494600948565132,2.8061582727963174e-05,3.1739782393471213e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,1,0.2,agent,778.586518,406.7191,0.023151425200000002,2.8568885488366094e-05,heuristic,proposed,0.013470145800000001,75.25816116,0,0,0,0,0,0,0,0.00021186028176101718,0,0,0,0,0,0,766.2217346287138,790.9513013712861,397.944177380519,415.49402261948103,0.00019321089367653555,0.0002305096698454988,2.667293569220023e-05,3.046483528453196e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,1,0.3,agent,890.1629679999999,465.49323200000003,0.02275282,2.460554304658241e-05,heuristic,proposed,0.0128246288,86.26029932,0,0,0,0,0,0,0,0.00018050674192370846,0,0,0,0,0,0,876.2055478246369,904.1203881753628,455.45381120468994,475.5326527953101,0.00016468743018109903,0.0001963260536663179,2.3101923055033627e-05,2.610916303813119e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,10,0.1,agent,700.076976,364.598308,0.0232888156,3.181427888610048e-05,heuristic,proposed,0.014310696999999999,67.4078854,0,0,0,0,0,0,0,0.000231718863925826,0,0,0,0,0,0,688.8984267667739,711.255525233226,356.59964326053165,372.5969727394683,0.00021448267129808244,0.0002489550565535696,2.94880320306446e-05,3.414052574155637e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,10,0.2,agent,793.7621819999999,413.67564,0.022851791,2.7556962742526246e-05,heuristic,proposed,0.0141074346,77.17143062,0,0,0,0,0,0,0,0.00021894390987179982,0,0,0,0,0,0,780.7995238755702,806.7248401244296,404.484736874501,422.866543125499,0.00020091345543755493,0.0002369743643060447,2.5544760262373413e-05,2.956916522267908e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,10,0.3,agent,916.811304,477.74607799999995,0.0222736714,2.334488851269207e-05,heuristic,proposed,0.0136547882,87.9478584,0,0,0,0,0,0,0,0.00019837461695502672,0,0,0,0,0,0,901.3974480352539,932.225159964746,467.10600098635246,488.38615501364745,0.00017580956530911934,0.0002209396686009341,2.1555958954630916e-05,2.5133818070753224e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,20,0.1,agent,704.6616399999999,366.18317,0.021327203599999997,2.900702656386877e-05,heuristic,proposed,0.012412728,67.4749178,0,0,0,0,0,0,0,0.00021424637077884434,0,0,0,0,0,0,693.1875432792028,716.135736720797,358.1147773091273,374.25156269087273,0.00019787107858175654,0.00023062166297593213,2.699633497018175e-05,3.101771815755579e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,20,0.2,agent,803.3983000000001,419.596542,0.0222605468,2.6448018956708973e-05,heuristic,proposed,0.0132138402,75.67871242,0,0,0,0,0,0,0,0.00020593246448532356,0,0,0,0,0,0,789.5067672791075,817.2898327208926,410.2358359920106,428.9572480079894,0.0001878205162389297,0.0002240444127317174,2.4482611657867287e-05,2.841342625555066e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,sparse,0,20,0.3,agent,952.503508,490.105872,0.022114646999999998,2.2184540878241585e-05,heuristic,proposed,0.0134426624,89.18267,0,0,0,0,0,0,0,0.0001782095242282417,0,0,0,0,0,0,935.4814217430451,969.525594256955,478.73207940530256,501.4796645946974,0.00016075385746590928,0.00019566519099057414,2.0489249074790882e-05,2.3879832681692288e-05,0,0,0,0,500
continuous,online_remove_redundant,0,10,2,dense,0,1,0.1,agent,339.60233400000004,181.81798999999998,0.019233168399999997,5.3529386030677634e-05,heuristic,proposed,0.010323421,40.29321914,0,0,0,0,0,0,0,0.00025633029496021097,0,0,0,0,0,0,334.58654271022846,344.6181252897716,179.06105741691647,184.5749225830835,0.00023667798809393252,0.0002759826018264894,5.0173046980021106e-05,5.688572508133416e-05,0,0,0,0,500
